device_name,source_ip,avg_bytes_sent,avg_bytes_received,avg_packets_transferred,avg_flow_duration,recent_tcp_flags,recent_protocol,avg_cpu_usage,avg_memory_usage,avg_disk_usage,avg_uptime
Device-23,192.168.0.22,6476.5,5260,50,3854,ACK,TCP,59.010000000000005,56.275000000000006,56.94500000000001,355
Device-221,192.168.0.220,88424,6373,9,783,ACK,TCP,34.54,55.214999999999996,47.959999999999994,491
Device-222,192.168.0.221,57122,4498.5,9,2044,ACK,TCP,48.025,34.4,63.295,404
Device-223,192.168.0.222,78578,5741.5,33,2176,ACK,TCP,25.845,52.96,56.91,302
Device-224,192.168.0.223,64630.5,9489,57,4129,ACK,TCP,48.635,54.325,54.43,336
Device-225,192.168.0.224,54569.5,3939.5,62,4207,ACK,TCP,10.61,50.83500000000001,47.89,316
Device-226,192.168.0.225,60863,4623,61,1992,ACK,TCP,42.870000000000005,44.225,56.87,271
Device-227,192.168.0.226,9973.5,4648,303.75,7694.75,"SYN, ACK",TCP,29.545,58.905,58.96,426
Device-228,192.168.0.227,51130,5971,61,2489,ACK,TCP,13.809999999999999,53.050000000000004,40.56,236
Device-229,192.168.0.228,54022.5,6090,29,3875,ACK,TCP,41.71,43.81,37.02,219
Device-230,192.168.0.229,45091.5,5112,87,2335,ACK,TCP,20.92,37.285,44.715,194
Device-24,192.168.0.23,94258,6412,59,319,ACK,TCP,47.120000000000005,64.89,56.900000000000006,175
Device-231,192.168.0.230,46735,3178.5,44,3402,ACK,TCP,55.47,56.63,47.365,198
Device-232,192.168.0.231,73360,6386,20,3880,ACK,TCP,46.614999999999995,60.875,65.42,175
Device-233,192.168.0.232,49669.5,6298,62,1554,ACK,TCP,45.019999999999996,41.989999999999995,49.21,473
Device-234,192.168.0.233,48365,6230.5,22,2794,ACK,TCP,35.61,62.37,56.245000000000005,163
Device-235,192.168.0.234,36707,5576,51,4279,ACK,TCP,22.75,68.08,50.45,323
Device-236,192.168.0.235,52641,5490.5,67,4143,ACK,TCP,44.36,37.455,48.45,213
Device-237,192.168.0.236,47546.5,3612.5,38,495,ACK,TCP,40.39,56.245000000000005,37.129999999999995,498
Device-238,192.168.0.237,47239,3180.5,46,3855,ACK,TCP,15.26,45.445,45.260000000000005,131
Device-239,192.168.0.238,90927.5,5705.5,77,2848,ACK,TCP,28.61,60.915,65.69,416
Device-240,192.168.0.239,55328,5896,59,540,ACK,TCP,40.675,53.510000000000005,44.555,349
Device-25,192.168.0.24,26567,6132.5,20,350,ACK,TCP,18.025,30.525,52.045,431
Device-241,192.168.0.240,56663,4883.5,39,1807,ACK,TCP,36.725,48.745,49.785,165
Device-242,192.168.0.241,56800.5,1540.5,18,497,ACK,TCP,47.095,54.575,58.42,476
Device-243,192.168.0.242,53276.5,8210.5,74,4075,ACK,TCP,30.505,72.92500000000001,48.364999999999995,361
Device-244,192.168.0.243,61546.5,5996.5,23,3062,ACK,TCP,32.205,72.805,44.685,315
Device-245,192.168.0.244,86900.5,4776.5,66,3743,ACK,TCP,36.865,63.60000000000001,34.519999999999996,206
Device-246,192.168.0.245,66976,5172,93,3359,ACK,TCP,23.075,39.14,53.519999999999996,275
Device-247,192.168.0.246,38567.5,7294.5,22,4074,ACK,TCP,36.015,56.44,50.545,142
Device-248,192.168.0.247,16086.5,5736.5,57,269,ACK,TCP,24.849999999999998,54.005,55.235,105
Device-249,192.168.0.248,187470,633966.25,69,2825,ACK,TCP,30.284999999999997,35.47,56.875,288
Device-250,192.168.0.249,33621,8543.5,18,3154,ACK,TCP,35.21,55.120000000000005,43.96,141
Device-26,192.168.0.25,71046,3220.5,1,4964,ACK,TCP,44.83,41.864999999999995,58.555,111
Device-251,192.168.0.250,49110,2774.5,3,2050,ACK,TCP,32.88,51.53,52.58,133
Device-252,192.168.0.251,44157,6950.5,76,1581,ACK,TCP,38.785,37.33,42.29,183
Device-253,192.168.0.252,69604,5214.5,33,3315,ACK,TCP,43.935,51.26,58.144999999999996,410
Device-254,192.168.0.253,81727,6257,2,444,ACK,TCP,35.42,43.86,64.625,383
Device-255,192.168.0.254,44534.5,4663.5,47,2694,ACK,TCP,50.35,57.095,53.475,246
Device-27,192.168.0.26,45349.5,6396.5,40,4642,ACK,TCP,43.2,53.45,55.99,179
Device-28,192.168.0.27,74206,2029.5,2,3559,ACK,TCP,36.22,39.445,41.7,341
Device-29,192.168.0.28,77543.5,6810.5,75,3648,ACK,TCP,30.41,45.905,40.84,141
Device-30,192.168.0.29,61132,1887,18,927,ACK,TCP,31.575000000000003,55.144999999999996,43.29,428
Device-4,192.168.0.3,49782,2736.5,69,831,ACK,TCP,38.55,48.315,59.75,268
Device-31,192.168.0.30,29956,5383.5,33,3101,ACK,TCP,37.504999999999995,59.635,38.53,117
Device-32,192.168.0.31,51688,5674,59,2980,ACK,TCP,46.665000000000006,64.595,60.525000000000006,489
Device-33,192.168.0.32,21715,1824,52,3506,ACK,TCP,36.03,56.239999999999995,50.269999999999996,441
Device-34,192.168.0.33,55828,3141,82,481,ACK,TCP,32.68,48.555,48.739999999999995,445
Device-35,192.168.0.34,58830.5,4895,77,512,ACK,TCP,32.375,48.855000000000004,52.535,244
Device-36,192.168.0.35,32138.5,7875,97,4362,ACK,TCP,27.72,79.485,51.16,379
Device-37,192.168.0.36,64687,3882.5,17,2704,ACK,TCP,26.360000000000003,25.810000000000002,37.905,221
Device-38,192.168.0.37,70452.5,7732.5,62,1094,ACK,TCP,49.135000000000005,57.66,40.4,361
Device-39,192.168.0.38,64884,4543,44,4056,ACK,TCP,51.3375,60.2175,73.13125,60.5
Device-40,192.168.0.39,39692.5,7223,63,2830,ACK,TCP,48.120000000000005,53.55,57.254999999999995,154
Device-5,192.168.0.4,55222,5925,88,2050,ACK,TCP,32.824999999999996,61.33,51.61,185
Device-41,192.168.0.40,32846,6531,24,3424,ACK,TCP,25.185000000000002,42.175,42.995000000000005,244
Device-42,192.168.0.41,41010,4846,35,4784,ACK,TCP,25.64,64.44999999999999,66.86,439
Device-43,192.168.0.42,34578,5477.5,36,714,ACK,TCP,29.325,43.125,68.895,417
Device-44,192.168.0.43,34366,6747,48,4179,ACK,TCP,28.085,36.83,46.045,203
Device-45,192.168.0.44,57726.5,6636.5,78,1431,ACK,TCP,46.84,34.715,61.405,360
Device-46,192.168.0.45,54065.5,3871.5,27,3360,ACK,TCP,36.405,50.935,38.155,233
Device-47,192.168.0.46,83845,6478.5,9,2066,ACK,TCP,29.725,49.03,52.06,100
Device-48,192.168.0.47,48921,4693.5,71,2859,ACK,TCP,41.045,26.769999999999996,59.935,269
Device-49,192.168.0.48,72528,7599,39,4966,ACK,TCP,28.335,66.11,49.545,288
Device-50,192.168.0.49,33309,4746,4,3084,ACK,TCP,22,41.55,57.925,161
Device-6,192.168.0.5,78537.5,6634,58,3760,ACK,TCP,52.47,61.515,52.355000000000004,203
Device-51,192.168.0.50,49583.5,2974,98,3562,ACK,TCP,30.294999999999998,47.879999999999995,59.65,125
Device-52,192.168.0.51,44562.5,4844.5,12,1635,ACK,TCP,50.099999999999994,64.005,49.989999999999995,180
Device-53,192.168.0.52,59628,5275,4,2485,ACK,TCP,40.894999999999996,24.240000000000002,41.49,224
Device-54,192.168.0.53,46314.5,4390,52,789,ACK,TCP,36.900000000000006,42.235,63.78999999999999,181
Device-55,192.168.0.54,19096.5,5591,53,415,ACK,TCP,18.705000000000002,54.97,67.04,137
Device-56,192.168.0.55,85618,8157,45,62,ACK,TCP,33.07,33.465,57.125,435
Device-57,192.168.0.56,51936.5,5673.5,44,1306,ACK,TCP,44.705,49.945,43.64,288
Device-58,192.168.0.57,26000.5,7414,57,4726,ACK,TCP,21.7,36.375,47.34,471
Device-59,192.168.0.58,15157.5,7368.5,97,2006,ACK,TCP,25.44,56.93,58.31,246
Device-60,192.168.0.59,65109.5,4543.5,62,1048,ACK,TCP,37.089999999999996,69.235,34.54,265
Device-7,192.168.0.6,43834,6197.5,32,2184,ACK,TCP,36.79,65.635,53.010000000000005,196
Device-61,192.168.0.60,60571.5,7305,68,4693,ACK,TCP,41.790000000000006,57.625,44.7,103
Device-62,192.168.0.61,57993,9265,26,4343,ACK,TCP,18.8,58.94,40.335,207
Device-63,192.168.0.62,44244,3624,74,2113,ACK,TCP,50.245,51.635,48.18,443
Device-64,192.168.0.63,49514,3469.5,63,1337,ACK,TCP,41.135,52.625,53.065,403
Device-65,192.168.0.64,41415.5,4690.5,24,1944,ACK,TCP,48.78,35.86,55.05,393
Device-66,192.168.0.65,78736,7978,30,480,ACK,TCP,50.405,65.815,57.025000000000006,228
Device-67,192.168.0.66,73590.5,5529,89,4617,ACK,TCP,35.62,38.895,46.739999999999995,186
Device-68,192.168.0.67,54134,7124,75,2933,ACK,TCP,33.94,53.32,60.9,209
Device-69,192.168.0.68,45834.5,6080.5,37,1284,ACK,TCP,34.68,37.51,51.125,421
Device-70,192.168.0.69,65465.5,4406,64,1180,ACK,TCP,39.21,60.599999999999994,37.25,227
Device-8,192.168.0.7,11164,8012,5,4938,ACK,TCP,36.46,55.815,52.465,330
Device-71,192.168.0.70,49522,5621,34,3677,ACK,TCP,17.635,47.58,51.435,412
Device-72,192.168.0.71,49271.5,6692,29,1555,ACK,TCP,51.065,55.185,40.900000000000006,286
Device-73,192.168.0.72,74537,5035.5,45,237,ACK,TCP,48.115,54.585,56.754999999999995,417
Device-74,192.168.0.73,50465,5848,64,2986,ACK,TCP,41.3,50.955,41.14,307
Device-75,192.168.0.74,66387,8091.5,99,3890,ACK,TCP,35.165,39.365,48.975,318
Device-76,192.168.0.75,64527,2333.5,11,2320,ACK,TCP,33.875,52.595,59.905,259
Device-77,192.168.0.76,74653,2210.5,4,4961,ACK,TCP,34.85,60.025000000000006,62.795,342
Device-78,192.168.0.77,58086.5,7028.5,59,1063,ACK,TCP,47.475,44.945,59.83,358
Device-79,192.168.0.78,364972.75,1073238.25,14,2544,ACK,TCP,28.415,59.81,61.745000000000005,435
Device-80,192.168.0.79,42166,2348,26,2712,ACK,TCP,27.384999999999998,36.41,48.855000000000004,267
Device-9,192.168.0.8,92097,4322.5,43,264,ACK,TCP,47.735,70.35,49.57,375
Device-81,192.168.0.80,75972,2250.5,35,3616,ACK,TCP,28.92,53.425000000000004,42.755,266
Device-82,192.168.0.81,44068,7868.5,54,1284,ACK,TCP,32.655,36.3,35.834999999999994,138
Device-83,192.168.0.82,76189,6216.5,61,588,ACK,TCP,35.375,60.150000000000006,50.325,299
Device-84,192.168.0.83,51743,4631.5,57,3817,ACK,TCP,26.130000000000003,62.295,49.065,307
Device-85,192.168.0.84,23724,8903,23,4259,ACK,TCP,40.269999999999996,62.02,47.825,122
Device-86,192.168.0.85,44472.5,5057.5,52,1543,ACK,TCP,47.2,24.85,59.31,268
Device-87,192.168.0.86,61916.5,5115,2,3636,ACK,TCP,29.08,40.775000000000006,49.33,481
Device-88,192.168.0.87,24384,4750,36,1677,ACK,TCP,29.645000000000003,46.47,44.085,497
Device-89,192.168.0.88,47932.5,4254,7,2909,ACK,TCP,37.87,59.285000000000004,58.065,184
Device-90,192.168.0.89,78734.5,1144.5,22,2,ACK,TCP,21.98,67.43,39.585,470
Device-10,192.168.0.9,53079.5,6360.5,86,559,ACK,TCP,34.55,48.555,51.035,139
Device-91,192.168.0.90,35099,1314.5,1,3347,ACK,TCP,25.46,23.645,36.224999999999994,372
Device-92,192.168.0.91,33502.5,6148,39,4752,ACK,TCP,34.45,62.345,53.26,391
Device-93,192.168.0.92,57395.5,2182,6,4007,ACK,TCP,33.13,50.605,35.8,404
Device-94,192.168.0.93,50986,4338.5,55,734,ACK,TCP,31.965000000000003,51.305,61.785,244
Device-95,192.168.0.94,40360.5,4466.5,31,3118,ACK,TCP,31.259999999999998,46.79,64.625,282
Device-96,192.168.0.95,52017,7158,83,4065,ACK,TCP,35.15,56.925,47.09,483
Device-97,192.168.0.96,59122.5,3624.5,85,2170,ACK,TCP,29.145,42.915,50.17,291
Device-98,192.168.0.97,96251.5,8184.5,27,4808,ACK,TCP,40.19,49.595,45.575,180
Device-99,192.168.0.98,70380,6368.5,97,1264,ACK,TCP,36.980000000000004,47.89,39.065,279
Device-100,192.168.0.99,19610.5,5814,58,1877,ACK,TCP,45.915000000000006,44.504999999999995,64.065,212
Device-256,192.168.1.0,84884.5,1904,98,1319,ACK,TCP,16.895,67.56,64.255,349
Device-257,192.168.1.1,25954,8950,10,3153,ACK,TCP,28.474999999999998,48.84,55.435,375
Device-266,192.168.1.10,55966.5,3147,31,714,ACK,TCP,29.28,48.85,33.085,274
Device-267,192.168.1.11,57863,6586,66,2481,ACK,TCP,24.485,45.265,50.385000000000005,187
Device-268,192.168.1.12,43684.5,4597,46,524,ACK,TCP,37.605,60.760000000000005,40.65,477
Device-269,192.168.1.13,48924,6664,38,2177,ACK,TCP,41.93,54.24,52.245000000000005,384
Device-270,192.168.1.14,57190,3103.5,18,3355,ACK,TCP,58.230000000000004,44.805,53.254999999999995,237
Device-271,192.168.1.15,42787,7853.5,20,4488,ACK,TCP,33.105,35.775000000000006,48.125,161
Device-272,192.168.1.16,75813,3949.5,78,3658,ACK,TCP,47.09,65.65,37.754999999999995,224
Device-273,192.168.1.17,43060.5,5076,65,4510,ACK,TCP,35.285,51,49.19,309
Device-274,192.168.1.18,69318.5,4862.5,63,241,ACK,TCP,31.73,45.425,44.315,143
Device-275,192.168.1.19,59509,4497.5,3,4869,ACK,TCP,27.72,47.625,65.505,183
Device-258,192.168.1.2,69326.5,5515,15,1199,ACK,TCP,53.275,40.595,53.85,459
Device-276,192.168.1.20,72511,4389.5,15,3873,ACK,TCP,31.985,73.445,52.535000000000004,204
Device-277,192.168.1.21,31854,1766,63,1162,ACK,TCP,15.219999999999999,59.614999999999995,58.685,116
Device-278,192.168.1.22,64330,7634,19,2838,ACK,TCP,29.015,45.955,47.67,180
Device-279,192.168.1.23,22240,4559,95,4272,ACK,TCP,50.849999999999994,66.625,49.97,485
Device-280,192.168.1.24,51982,8448.5,75,1689,ACK,TCP,34.945,37.605000000000004,59.85,172
