srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
59.166.0.3,54873,4,60686,1,1,0.222591,424,8824,31,29,1,4,2,13333.87305,290721.5625,8,12,255,255,1324574019,1427168135,53,735,0,0,2154.309937,1717.151876,1421934779,1421934779,31.749713,20.18809,0.000641,0.000516,0.000125,0,0,0,0,0,2,2,4,5,1,1,2,0
10.40.182.1,0,7,0,2,2,50.004372,384,0,1,0,0,0,0,51.195522,0.0,6,0,0,0,0,0,64,0,0,0,0.0,0.0,1421933437,1421933487,10000.878,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,4,2,2,4,2,0
59.166.0.7,1555,8,22,1,1,0.254802,3728,5474,31,29,7,7,4,113405.7109,164708.2969,32,24,255,255,3567253699,3571764620,117,228,0,0,544.346129,16.697752,1421949511,1421949511,8.219419,11.046435,0.000733,0.000597,0.000136,0,0,0,0,0,3,1,1,4,1,1,1,0
59.166.0.9,38169,6,9125,1,1,0.3152,4872,2976,31,29,7,7,0,118908.6328,72842.64063,26,28,255,255,1290904524,3439453013,187,106,0,0,818.506286,21.870316,1421953677,1421953677,12.59512,11.653333,0.000696,0.000555,0.000141,0,0,0,0,0,11,9,3,4,1,1,3,0
59.166.0.6,62598,9,80,1,1,0.033119,1044,822,31,29,2,2,3,220779.6094,178749.3594,8,10,255,255,382222996,388598708,131,82,1,82,304.129138,8.146313,1421928245,1421928245,4.676286,3.626,0.00062,0.000482,0.000138,0,0,1,0,0,3,1,8,6,1,1,3,0
175.45.176.1,3470,10,80,1,1,1.199475,822,3150,62,252,2,2,3,4935.492188,18388.04492,10,8,255,255,1609502595,3647630781,82,394,0,0,7685.328823,334.601063,1421930790,1421930791,133.275,160.652719,0.155865,0.074275,0.08159,0,1,0,0,0,1,1,1,5,1,1,1,1
59.166.0.0,8589,9,58611,1,1,0.046406,320,1894,31,29,1,2,0,46028.53125,285825.0938,6,8,255,255,284531787,488531078,53,237,0,0,642.306965,15.736488,1421934223,1421934223,9.2164,6.555857,0.000646,0.000508,0.000138,0,0,0,0,0,7,6,2,4,1,1,2,0
59.166.0.7,34340,9,41165,1,1,0.16085,4862,80646,31,29,7,36,0,238980.4063,3964389.0,84,86,255,255,683881426,730452713,58,938,0,0,97.104008,96.141425,1421934080,1421934080,1.933916,1.885271,0.000743,0.000597,0.000146,0,0,0,0,0,9,17,2,2,1,1,1,0
59.166.0.7,34809,2,53,0,0,0.001111,146,178,31,29,0,0,1,525652.5625,640864.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927823,1421927823,0.011,0.008,0.0,0.0,0.0,0,0,0,0,0,2,2,1,1,1,1,1,0
59.166.0.3,14947,6,6881,1,1,0.591447,13558,548216,31,29,21,197,0,182616.5313,7398330.0,236,438,255,255,3349132505,3352637139,57,1252,0,0,124.636924,78.491822,1421952657,1421952657,2.515447,1.352192,0.000668,0.000537,0.000131,0,0,0,0,0,14,11,5,5,3,1,3,0
59.166.0.3,26273,5,22,1,1,1.43685,12472,12716,31,29,17,17,0,68449.73438,69624.53125,70,60,255,255,2168642056,23570164,178,212,0,0,1299.817111,0.0,1421944888,1421944890,20.823913,24.340609,0.000752,0.000614,0.000138,0,0,0,0,0,10,7,6,10,4,4,4,0
59.166.0.9,7940,3,53,0,0,0.000997,146,178,31,29,0,0,1,585757.25,714142.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421941952,1421941952,0.001,0.007,0.0,0.0,0.0,0,0,0,0,0,3,4,5,3,1,1,2,0
59.166.0.5,28059,8,53,0,0,0.00093,130,162,31,29,0,0,1,559139.8125,696774.1875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421953255,1421953255,0.001,0.005,0.0,0.0,0.0,0,0,0,0,0,3,3,6,3,3,1,1,0
59.166.0.2,64156,6,53,0,0,0.00099,146,178,31,29,0,0,1,589899.0,719191.9375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945080,1421945080,0.011,0.002,0.0,0.0,0.0,0,0,0,0,0,3,3,11,9,3,3,6,0
59.166.0.4,50677,9,22,1,2,0.0,56,0,32,0,0,0,0,0.0,0.0,1,0,255,0,1903291513,0,56,0,0,0,0.0,0.0,1421945446,1421945446,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,13,10,10,16,1,1,1,0
59.166.0.8,58182,8,5923,1,1,0.002934,320,1860,31,29,1,2,2,728016.375,4438991.0,6,8,255,255,1216178709,3365406709,53,233,0,0,28.695338,0.556848,1421947170,1421947170,0.524,0.339857,0.0007,0.000552,0.000148,0,0,0,0,0,8,2,6,12,1,1,3,0
59.166.0.4,47962,3,54121,1,1,0.004479,8928,320,31,29,4,1,2,14808663.0,476892.1875,14,6,255,255,320373254,2481922328,638,53,0,0,17.034857,1.193267,1421950275,1421950275,0.344538,0.7734,0.000617,0.000486,0.000131,0,0,0,0,0,3,3,6,6,1,1,4,0
59.166.0.0,6850,11,48736,1,1,0.232873,3926,55310,31,29,7,27,0,132844.9531,1872162.125,66,68,255,255,3862729707,1809421991,59,813,0,0,0.0,190.37421,1421931734,1421931734,3.577754,3.468328,0.000592,0.000491,0.000101,0,0,0,0,0,4,6,4,2,1,1,1,0
59.166.0.1,9865,6,111,0,0,0.400388,568,320,31,29,0,0,0,8511.743164,4795.348633,4,4,0,0,0,0,142,80,0,0,124.938461,181.514312,1421955376,1421955377,88.353336,128.357,0.0,0.0,0.0,0,0,0,0,0,7,9,4,5,2,1,3,0
59.166.0.8,62982,11,5190,1,1,0.129029,1958,2308,31,29,6,6,0,115880.9219,137147.4531,22,24,255,255,1301986744,3451885960,89,96,0,0,437.778809,426.757862,1421936952,1421936952,6.124762,5.581739,0.000798,0.000638,0.00016,0,0,0,0,0,2,6,8,5,1,1,2,0
59.166.0.1,46078,0,21,1,1,1.881681,2934,3740,31,29,11,15,5,12235.86816,15607.32129,52,54,255,255,4147059158,2003904755,56,69,0,0,2763.956685,72.725602,1421945267,1421945269,36.889371,35.493301,0.000671,0.000532,0.000139,0,0,0,1,3,4,4,17,30,4,4,9,0
59.166.0.5,19705,3,18293,1,1,0.499893,5072,3080,31,29,7,7,0,78272.75,47658.19922,28,30,255,255,1153943273,3302564703,181,103,0,0,1063.014921,27.239395,1421934095,1421934096,18.501482,17.219,0.000667,0.000534,0.000133,0,0,0,0,0,11,7,2,1,1,1,1,0
59.166.0.6,39350,11,21,1,1,0.887947,2934,3742,31,29,11,15,5,25929.47461,33092.0625,52,54,255,255,612540288,613516345,56,69,0,0,1601.763448,53.28841,1421944732,1421944732,17.403059,16.74334,0.000681,0.000544,0.000137,0,0,0,1,1,1,1,4,6,1,1,2,0
59.166.0.0,65257,1,53,0,0,0.001129,146,178,31,29,0,0,1,517271.9375,630646.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421953621,1421953621,0.011,0.008,0.0,0.0,0.0,0,0,0,0,0,3,1,2,4,2,1,1,0
59.166.0.8,48860,3,6881,1,1,0.048131,1540,1644,31,29,4,4,0,240011.6406,258128.8594,16,18,255,255,300354994,306361890,96,91,0,0,215.131289,4.99503,1421935497,1421935497,3.187533,2.802059,0.000661,0.000489,0.000172,0,0,0,0,0,6,8,6,8,6,1,6,0
59.166.0.8,47374,6,25,1,1,0.615822,37896,3484,31,29,19,8,6,483191.5625,44233.55859,54,44,255,255,4227006165,2146200024,702,79,0,0,870.30217,27.644881,1421940332,1421940332,11.612736,14.308977,0.000668,0.000533,0.000135,0,0,0,0,0,1,1,2,2,1,1,1,0
59.166.0.1,41644,4,53,0,0,0.001097,130,162,31,29,0,0,1,474020.0625,590701.9375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421937057,1421937057,0.011,0.009,0.0,0.0,0.0,0,0,0,0,0,2,3,5,2,1,1,1,0
59.166.0.4,34585,1,14326,1,1,0.115053,4222,61786,31,29,7,30,0,289536.125,4238186.0,72,74,255,255,1459269438,1459559309,59,835,0,0,91.162609,90.105208,1421945112,1421945112,1.615915,1.566452,0.000917,0.0007,0.000217,0,0,0,0,0,6,6,8,3,3,3,3,0
59.166.0.7,18544,9,6881,1,1,5.656051,23202,1052048,31,29,37,370,0,32738.03516,1486227.0,411,824,255,255,3467559743,1321380542,56,1277,0,0,7051.299755,4987.206987,1421938809,1421938815,13.794468,6.880241,0.000621,0.000487,0.000134,0,0,0,0,0,8,13,4,1,1,1,1,0
59.166.0.4,52265,2,53,0,0,0.001071,146,178,31,29,0,0,1,545284.75,664799.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421951956,1421951956,0.01,0.008,0.0,0.0,0.0,0,0,0,0,0,2,3,1,3,1,1,1,0
59.166.0.3,53944,1,8434,1,1,0.008133,424,8824,31,29,1,4,2,364933.0,7956720.0,8,12,255,255,3420846494,3433386096,53,735,0,0,81.587752,38.16984,1421953208,1421953208,1.113571,0.692091,0.000687,0.000517,0.00017,0,0,0,0,0,3,3,5,8,1,1,5,0
59.166.0.4,61728,6,25,1,1,0.04276,37218,3380,31,29,18,8,6,6829373.5,617399.4375,52,42,255,255,2270615253,126330554,716,80,0,0,61.494957,2.292042,1421947508,1421947508,0.831725,1.028585,0.000725,0.000584,0.000141,0,0,0,0,0,2,2,6,3,1,1,1,0
59.166.0.0,11484,2,143,1,1,1.448809,7806,15008,31,29,30,32,0,42755.11719,82213.73438,122,126,255,255,3241420421,1122290821,64,119,0,0,734.890646,726.678861,1421950051,1421950053,11.970504,11.585832,0.000702,0.000576,0.000126,0,0,0,0,0,6,5,2,2,1,1,2,0
59.166.0.4,50962,4,53,0,0,0.001065,146,178,31,29,0,0,1,548356.8125,668544.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421947201,1421947202,0.006,0.008,0.0,0.0,0.0,0,0,0,0,0,4,2,4,5,3,1,1,0
59.166.0.7,33755,2,50894,1,1,0.108985,4550,72164,31,29,7,33,0,329733.4375,5230958.5,78,80,255,255,1437955695,1438255273,58,902,0,0,79.913052,79.252735,1421942636,1421942636,1.411182,1.390308,0.000653,0.00053,0.000123,0,0,0,0,0,8,17,3,6,1,1,1,0
59.166.0.3,29362,11,56299,1,1,0.008962,2126,12618,31,29,7,10,0,1838875.25,10932381.0,32,34,255,255,4070466830,1925358270,66,371,0,0,16.292369,16.354451,1421943102,1421943102,0.278742,0.255,0.000678,0.000542,0.000136,0,0,0,0,0,8,4,1,3,1,1,1,0
59.166.0.8,64087,3,22,1,1,0.005904,3624,5578,31,29,7,7,4,4747967.5,7268293.0,30,26,255,255,1851636302,3997308605,121,215,0,0,11.550514,12.826632,1421948914,1421948914,0.203586,0.20804,0.000704,0.00057,0.000134,0,0,0,0,0,1,2,2,2,1,1,1,0
59.166.0.9,1102,11,53,0,0,0.001161,130,162,31,29,0,0,1,447889.75,558139.5625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421934904,1421934904,0.012,0.007,0.0,0.0,0.0,0,0,0,0,0,3,3,6,1,1,1,1,0
59.166.0.1,44450,11,6881,1,1,0.630188,3756,114238,31,29,8,44,0,46830.46875,1436536.375,56,106,255,255,146480246,2295947082,67,1078,0,0,1923.892049,1405.348703,1421930271,1421930271,11.452291,5.997248,0.000604,0.000473,0.000131,0,0,0,0,0,6,7,7,9,6,1,6,0
59.166.0.6,14065,4,111,0,0,0.004782,568,312,31,29,0,0,0,712672.5,391468.0,4,4,0,0,0,0,142,78,0,0,1.759755,1.487988,1421930820,1421930820,1.251333,1.059667,0.0,0.0,0.0,0,0,0,0,0,6,1,1,2,1,1,1,0
59.166.0.1,3492,4,27934,1,1,0.00688,8928,320,31,29,4,1,0,9640698.0,310465.125,14,6,255,255,4211050611,4219694432,638,53,0,0,27.641016,2.199155,1421955443,1421955443,0.529231,1.2566,0.000938,0.000465,0.000473,0,0,0,0,0,9,4,5,6,1,1,4,0
59.166.0.7,18581,11,80,1,1,1.005695,1580,10168,31,29,3,5,3,11526.35742,76396.92188,12,18,255,255,2456896131,2453767715,132,565,1,3924,9530.349405,7674.85344,1421945776,1421945777,91.394361,59.125767,0.000685,0.000552,0.000133,0,0,1,0,0,1,4,2,2,1,1,1,0
59.166.0.4,45070,11,38385,1,1,0.411387,424,8824,31,29,1,4,2,7214.618164,157302.0,8,12,255,255,2009765538,311626776,53,735,0,0,3470.142307,2753.208381,1421935371,1421935372,58.723714,37.352545,0.00063,0.000506,0.000124,0,0,0,0,0,4,3,2,3,1,1,1,0
59.166.0.4,59328,4,25,1,1,0.026578,37272,3276,31,29,18,8,0,11003386.0,961697.625,52,40,255,255,1723520429,3874121822,717,82,0,0,32.576398,1.387177,1421944948,1421944948,0.514373,0.666846,0.000727,0.000567,0.00016,0,0,0,0,0,1,1,1,2,1,1,1,0
59.166.0.9,27302,0,53,0,0,0.001022,146,178,31,29,0,0,0,571428.5625,696673.1875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421933437,1421933437,0.005,0.008,0.0,0.0,0.0,0,0,0,0,0,8,4,4,4,1,1,2,0
59.166.0.5,34880,5,33928,1,1,0.025065,2542,23278,31,29,7,14,0,791222.875,7252823.0,40,42,255,255,2201462872,2201771609,64,554,0,0,49.952655,48.847857,1421944587,1421944587,0.634462,0.627308,0.000723,0.000589,0.000134,0,0,0,0,0,5,8,4,4,1,1,1,0
59.166.0.1,38460,1,80,1,1,1.156499,1684,10168,31,29,3,5,0,10818.85938,66434.99219,14,18,255,255,2769822802,625408407,120,565,2,192,8874.777752,7770.098054,1421945147,1421945148,88.930002,68.000412,0.000612,0.000489,0.000123,0,0,6,0,0,5,21,22,8,6,6,6,0
59.166.0.5,57735,11,53,0,0,0.001077,146,178,31,29,0,0,1,542246.9375,661095.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421942462,1421942462,0.011,0.008,0.0,0.0,0.0,0,0,0,0,0,4,4,4,3,1,1,1,0
59.166.0.4,6219,3,49036,1,1,0.005062,4496,2456,31,29,7,7,0,6711971.5,3666535.0,18,18,255,255,4215608053,2073511296,250,136,0,0,14.063375,0.359571,1421944773,1421944773,0.279294,0.264824,0.000694,0.000555,0.000139,0,0,0,0,0,12,12,4,6,1,1,3,0
59.166.0.0,7561,0,43285,0,0,0.036194,528,304,31,29,0,0,0,87528.32031,50395.09375,4,4,0,0,0,0,132,76,0,0,9.929193,10.836883,1421927927,1421927927,7.028,7.673333,0.0,0.0,0.0,0,0,0,0,0,5,12,11,4,1,1,4,0
59.166.0.1,59996,6,39676,1,1,0.047683,528,8824,31,29,1,4,2,79860.74219,1357129.375,10,12,255,255,3244249356,1233269210,53,735,0,0,482.271031,430.522523,1421938455,1421938455,5.262,4.289091,0.000636,0.000499,0.000137,0,0,0,0,0,3,3,5,5,1,1,4,0
59.166.0.4,39776,6,25,1,1,0.032928,37182,3380,31,29,18,8,6,8859815.0,801749.25,52,42,255,255,1588895932,3739599589,715,80,0,0,39.322245,1.386054,1421940105,1421940105,0.638588,0.790049,0.000664,0.000532,0.000132,0,0,0,0,0,1,2,4,5,1,1,1,0
59.166.0.1,15186,5,7693,1,1,0.017985,2766,26160,31,29,7,16,0,1202780.125,11383709.0,44,46,255,255,839591164,839915221,63,569,0,0,27.421826,25.801661,1421952295,1421952295,0.410674,0.386244,0.000739,0.000593,0.000146,0,0,0,0,0,11,4,4,5,1,1,2,0
59.166.0.7,17903,9,3504,1,1,0.004398,424,8824,31,29,1,4,2,674852.1875,14713961.0,8,12,255,255,1183400143,3336024920,53,735,0,0,34.302318,19.977351,1421947109,1421947109,0.572429,0.355364,0.000627,0.000486,0.000141,0,0,0,0,0,4,3,6,11,1,1,4,0
59.166.0.2,8251,11,80,1,1,0.004982,1056,824,31,29,2,2,3,1483741.375,1191489.25,8,10,255,255,459184646,460219500,132,82,1,83,44.270045,0.764347,1421947827,1421947827,0.661714,0.495,0.000666,0.000522,0.000144,0,0,1,0,0,1,1,2,6,1,1,1,0
149.171.126.18,1043,12,53,0,3,4e-06,264,0,60,0,0,0,1,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1421932670,1421932670,0.004,0.0,0.0,0.0,0.0,0,0,0,0,0,6,6,3,3,3,3,3,0
59.166.0.1,38374,9,80,1,1,1.123087,1684,10168,31,29,3,5,3,11140.72168,68411.4375,14,18,255,255,1869128692,1870094070,120,565,0,0,8820.957007,7732.531309,1421931401,1421931402,86.36269,66.006941,0.001094,0.000967,0.000127,0,0,0,0,0,5,3,3,2,2,1,1,0
59.166.0.2,59158,2,21203,1,1,0.118984,2766,25742,31,29,7,16,0,181805.9531,1693202.5,44,46,255,255,3947122157,1802081984,63,560,0,0,464.061151,450.419441,1421949483,1421949483,2.759581,2.627933,0.00088,0.000716,0.000164,0,0,0,0,0,12,8,1,2,1,1,1,0
59.166.0.8,15498,3,53,0,0,0.000914,146,178,31,29,0,0,1,638949.6875,778993.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421938663,1421938663,0.008,0.003,0.0,0.0,0.0,0,0,0,0,0,4,3,2,6,1,1,1,0
59.166.0.8,55105,11,5190,1,1,0.004418,1064,2260,31,29,4,4,0,1767315.5,3751923.75,12,12,255,255,2130730618,4280649354,89,188,0,0,18.406093,0.411227,1421932300,1421932300,0.369818,0.340273,0.000808,0.000664,0.000144,0,0,0,0,0,5,4,1,3,1,1,1,0
59.166.0.4,24684,0,80,1,1,1.025188,1010,9952,31,29,2,1,0,7093.333496,72119.46094,10,14,255,255,296409626,297359439,101,711,0,0,10541.31559,8786.516479,1421948861,1421948862,113.870778,78.347,0.0,0.0,0.0,0,0,0,0,0,4,7,1,2,1,1,1,0
59.166.0.0,47745,3,53,0,0,0.001088,146,178,31,29,0,0,1,536764.6875,654411.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421941577,1421941577,0.01,0.008,0.0,0.0,0.0,0,0,0,0,0,3,4,4,2,1,1,1,0
59.166.0.2,58698,3,25,1,1,2.505109,37220,3380,31,29,18,8,0,116577.7578,10538.46289,52,42,255,255,3388330792,3416929074,716,80,0,0,3256.91332,97.377945,1421944998,1421945000,49.113097,61.086879,0.000685,0.000543,0.000142,0,0,0,0,0,4,10,10,11,3,3,3,0
59.166.0.0,41519,11,9993,1,1,0.011838,2438,19918,31,29,7,13,0,1604325.0,13124514.0,38,40,255,255,3901892715,3915097090,64,498,0,0,18.436806,16.90479,1421948338,1421948338,0.311216,0.277795,0.00116,0.001001,0.000159,0,0,0,0,0,11,6,4,2,1,1,1,0
59.166.0.2,41649,5,53,0,0,0.001045,130,162,31,29,0,0,1,497607.625,620095.6875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421950583,1421950583,0.011,0.008,0.0,0.0,0.0,0,0,0,0,0,2,4,2,1,1,1,1,0
59.166.0.1,2680,6,53,0,0,0.001056,146,178,31,29,0,0,1,553030.3125,674242.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421953830,1421953830,0.011,0.01,0.0,0.0,0.0,0,0,0,0,0,2,2,2,1,1,1,1,0
59.166.0.7,46314,2,80,1,1,20.715784,19098,1087900,31,29,2,370,3,7354.77832,419561.0313,358,746,255,255,4057006773,4062302853,53,1458,1,524288,3244.489354,2171.917489,1421952740,1421952761,58.026537,27.80576,0.00063,0.000488,0.000142,0,0,1,0,0,1,2,2,3,1,1,1,0
59.166.0.6,14403,6,34931,1,1,0.053008,2854,26742,31,29,7,16,0,421370.3438,3948234.25,46,46,255,255,2670373672,2670698463,62,581,0,0,72.954833,1.962969,1421950916,1421950916,1.170556,1.163733,0.000762,0.000628,0.000134,0,0,0,0,0,6,3,1,6,1,1,1,0
59.166.0.9,3786,5,5190,1,1,0.006316,2158,2464,31,29,6,6,0,2620646.0,2991767.0,24,24,255,255,835453890,2985346701,90,103,0,0,16.243712,0.347646,1421937710,1421937710,0.259348,0.247043,0.000774,0.000623,0.000151,0,0,0,0,0,3,6,2,1,1,1,1,0
59.166.0.8,20391,4,53,0,0,0.001039,132,164,31,29,0,0,1,508180.9375,631376.3125,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421953489,1421953489,0.012,0.009,0.0,0.0,0.0,0,0,0,0,0,2,3,2,6,2,1,2,0
59.166.0.0,41551,8,53,0,0,0.001073,146,178,31,29,0,0,1,544268.375,663560.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421936154,1421936154,0.011,0.009,0.0,0.0,0.0,0,0,0,0,0,3,4,2,5,2,2,2,0
59.166.0.8,3066,2,47568,1,1,0.045609,3926,53634,31,29,7,27,0,678287.1875,9269398.0,66,68,255,255,311197583,311497810,59,789,0,0,43.128909,41.113789,1421954287,1421954288,0.696169,0.672701,0.000652,0.000526,0.000126,0,0,0,0,0,5,1,2,3,1,1,1,0
59.166.0.9,1624,11,37375,0,0,0.001684,512,304,31,29,0,0,0,1824228.0,1083135.375,4,4,0,0,0,0,128,76,0,0,0.609997,0.29628,1421950031,1421950031,0.435333,0.216,0.0,0.0,0.0,0,0,0,0,0,5,4,6,5,1,1,3,0
59.166.0.9,22950,3,16517,1,1,0.026055,3302,37798,31,29,7,21,0,995125.6875,11398656.0,54,56,255,255,562119526,562356831,61,675,0,0,0.0,32.547722,1421936979,1421936979,0.485774,0.464018,0.000673,0.00053,0.000143,0,0,0,0,0,7,13,5,5,1,1,1,0
59.166.0.3,52172,2,53,0,0,0.001083,146,178,31,29,0,0,1,539242.875,657433.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421936387,1421936387,0.01,0.011,0.0,0.0,0.0,0,0,0,0,0,2,2,2,2,2,1,1,0
59.166.0.4,42730,0,22,1,1,0.03681,3728,5474,31,29,7,7,4,785004.0625,1140125.0,32,24,255,255,3079671406,934613770,117,228,0,0,121.841304,4.261975,1421939642,1421939643,1.187419,1.567609,0.000774,0.000619,0.000155,0,0,0,0,0,2,1,4,7,1,1,1,0
59.166.0.8,19169,1,17173,1,1,0.044755,3614,49590,31,29,7,24,0,635280.9375,8721439.0,60,62,255,255,3176973471,3195896977,60,800,0,0,44.922732,44.135459,1421933580,1421933580,0.752831,0.725426,0.000645,0.000499,0.000146,0,0,0,0,0,8,5,1,2,1,1,1,0
59.166.0.7,26453,4,53,0,0,0.001158,146,178,31,29,0,0,1,504317.8125,614853.1875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421952120,1421952120,0.01,0.002,0.0,0.0,0.0,0,0,0,0,0,1,3,5,2,1,1,1,0
59.166.0.7,54839,1,53,0,0,0.001002,146,178,31,29,0,0,1,582834.375,710578.875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421940350,1421940350,0.008,0.002,0.0,0.0,0.0,0,0,0,0,0,2,1,2,1,1,1,1,0
59.166.0.9,5873,9,48643,1,1,0.38838,4664,3080,31,29,7,7,0,92651.53125,61341.98438,28,30,255,255,2473791839,487924292,167,103,0,0,786.136882,19.668189,1421945644,1421945644,14.372111,13.373518,0.000698,0.000544,0.000154,0,0,0,0,0,26,16,6,17,3,3,6,0
59.166.0.9,16938,8,53,0,0,0.001093,146,178,31,29,0,0,1,534309.1875,651418.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421949305,1421949305,0.007,0.008,0.0,0.0,0.0,0,0,0,0,0,6,1,6,3,3,1,1,0
149.171.126.0,29710,13,51049,1,1,0.045908,20592,884,29,31,6,0,0,3417617.75,144985.625,21,17,255,255,2204622228,30176886,981,52,0,0,4.332698,2.295183,1421942025,1421942025,2.2954,1.699437,0.0,0.0,0.0,0,0,0,0,0,1,2,1,1,1,1,1,0
59.166.0.8,9910,1,25,1,1,0.253904,37264,3380,31,29,18,8,0,1151553.25,103976.2969,52,42,255,255,3026985205,3028034150,717,80,0,0,551.136324,18.645377,1421933758,1421933758,4.968392,6.178512,0.000732,0.00058,0.000152,0,0,0,0,0,19,10,3,3,2,1,1,0
