pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
676023,1528084922.42637,0,1,1,3,2,8101,3,80,5,300,0,4,1528084947.83847,58746,25.412098,2.726101,1.927803,8.178304,0.0,4.119403,5,0,300,0,0.157405,0.157405,0.0,27000,27000,450,450,520,520,0.196722,0.196722,90,90,0.196757,0.204276,450,450,0,DoS,UDP
267553,1528081355.80726,0,1,0,1,3,30465,2,80,4,334,2,1,1528081384.58261,3923,28.775345,0.07623,0.07623,0.15246,0.0,0.15246,3,1,274,60,0.104256,0.069504,0.0,38964,38964,452,452,452,452,0.156917,0.156917,100,100,0.139008,0.156917,452,452,0,DoS,TCP
50862,1528081322.30518,2,2,0,1,1,18047,4,80,6,830,1,3,1528081353.63761,49385,31.332432,0.006107,0.012213,0.030533,0.0,0.030533,5,1,770,60,0.159579,0.127663,0.0,68180,68180,494,494,602,602,0.192274,0.192274,82,82,0.191495,0.20143,219,219,0,DoS,TCP
874669,1528084930.29402,0,1,1,3,2,63338,3,80,6,360,0,4,1528084951.36663,257394,21.072611,4.210491,0.110116,12.631472,4.087755,4.354891,6,0,360,0,0.237275,0.237275,0.0,36000,36000,600,600,600,600,0.28473,0.28473,100,100,0.28473,0.28473,600,600,0,DoS,UDP
530063,1528081394.99579,2,2,0,1,1,49581,4,80,5,676,1,3,1528081451.01063,4281,56.014835,0.011581,0.020059,0.046324,0.0,0.046324,4,1,616,60,0.07141,0.053557,0.0,68320,68320,512,512,512,512,0.0913867,0.0913867,100,100,0.0892621,0.0913867,250,250,0,DoS,TCP
346810,1528081357.858,2,2,0,1,1,63383,4,80,5,770,1,3,1528081382.25693,83180,24.398933,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.163942,0.163942,0.0,40980,40980,307,307,567,567,0.261992,0.261992,48,48,0.204927,0.184032,71,71,0,DoS,TCP
191233,1528081328.56184,2,2,0,1,1,55376,4,80,5,676,1,3,1528081351.59044,189756,23.028597,0.006485,0.011233,0.025941,0.0,0.025941,4,1,616,60,0.173697,0.130273,0.0,28784,28784,204,204,372,372,0.201331,0.201331,44,44,0.217121,0.364207,204,204,0,DoS,TCP
269545,1528081355.86242,2,2,0,1,0,48818,5,80,5,770,1,3,1528081388.0691,5915,32.206673,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.124198,0.124198,0.0,77000,77000,500,500,500,500,0.155248,0.155248,100,100,0.155247,0.155248,500,500,0,DoS,TCP
804463,1528084925.62873,0,1,1,3,2,37388,3,80,6,360,0,4,1528084949.18527,187186,23.556532,2.110581,2.111498,8.442325,0.0,4.309165,6,0,360,0,0.212255,0.212255,0.0,36000,36000,600,600,600,600,0.254706,0.254706,100,100,0.254706,0.254706,600,600,0,DoS,UDP
829736,1528084926.57431,0,1,1,3,1,52285,4,80,7,420,0,4,1528084950.07312,212459,23.498814,2.739699,1.583521,10.958796,0.0,3.773294,7,0,420,0,0.255332,0.255332,0.0,34440,34440,574,574,772,772,0.297885,0.297885,82,82,0.297887,0.327392,574,574,0,DoS,UDP
883085,1528084951.40896,0,1,1,3,0,31183,5,80,12,720,0,4,1528084978.58821,3651,27.179251,2.381311,0.457083,14.287866,1.359606,2.599027,12,0,720,0,0.404721,0.404721,0.0,72000,72000,1200,1200,1200,1200,0.441552,0.441552,100,100,0.441513,0.441552,1200,1200,0,DoS,UDP
253619,1528081341.92378,2,2,0,1,2,51428,3,80,3,462,1,3,1528081355.1232,252158,13.199419,0.0,0.0,0.0,0.0,0.0,3,0,462,0,0.151522,0.151522,0.0,22638,22638,147,147,300,300,0.227283,0.227283,49,49,0.227283,0.457486,147,147,0,DoS,TCP
865265,1528084929.1115,0,1,1,3,2,56765,3,80,6,360,0,4,1528084950.75854,247988,21.647045,4.4085,0.366328,13.2255,4.101605,4.923414,6,0,360,0,0.230978,0.230978,0.0,36000,36000,600,600,600,600,0.277174,0.277174,100,100,0.277174,0.277174,600,600,0,DoS,UDP
652665,1528084922.0999,0,1,1,3,0,27812,5,80,10,600,0,4,1528084951.32358,35388,29.223677,1.752854,1.240631,10.517124,0.0,2.731387,10,0,600,0,0.307969,0.307969,0.0,60000,60000,1000,1000,1000,1000,0.342171,0.342171,100,100,0.342188,0.342171,1000,1000,0,DoS,UDP
61088,1528081322.51185,1,5,0,1,3,6887,2,80,6,548,2,1,1528081346.31632,59611,23.804468,0.091149,0.046808,0.182298,0.044341,0.137957,4,2,428,120,0.210045,0.126027,0.042009,27400,27400,300,300,503,503,0.252161,0.252161,50,50,0.252054,0.191274,300,300,0,DoS,TCP
141331,1528081325.52718,1,5,0,1,3,23372,2,80,6,548,2,1,1528081352.82969,139854,27.302513,0.121593,0.017451,0.243186,0.104142,0.139044,4,2,428,120,0.183133,0.10988,0.036627,23016,23016,252,252,617,617,0.219863,0.219863,42,42,0.21976,0.213227,252,252,0,DoS,TCP
426189,1528081359.88257,2,2,0,1,2,41287,3,80,6,830,2,1,1528081383.37464,162560,23.492069,3.002174,2.127455,9.006523,0.0,4.674466,5,1,770,60,0.212838,0.17027,0.0,81740,81740,579,579,579,579,0.246447,0.246447,100,100,0.255405,0.246447,404,404,0,DoS,TCP
690659,1528084922.6569,0,1,1,3,3,14277,2,80,12,720,0,4,1528084951.08575,73382,28.428846,3.300097,1.782557,16.500484,0.0,4.703996,12,0,720,0,0.386931,0.386931,0.0,70560,70560,1176,1176,1194,1194,0.422088,0.422088,98,98,0.422106,0.420592,1176,1176,0,DoS,UDP
773320,1528084924.60514,0,1,1,3,1,39735,4,80,7,420,0,4,1528084949.18032,156043,24.57518,2.697369,1.557368,10.789474,0.0,3.612252,7,0,420,0,0.244149,0.244149,0.0,42000,42000,700,700,700,700,0.28484,0.28484,100,100,0.28484,0.28484,700,700,0,DoS,UDP
208262,1528081330.22626,2,2,0,1,2,49339,3,80,4,616,1,3,1528081354.86982,206785,24.643557,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.121736,0.121736,0.0,62560,62560,416,416,416,416,0.168807,0.168807,100,100,0.162314,0.168807,336,336,0,DoS,TCP
810952,1528084925.85731,0,1,1,3,0,62724,5,80,9,540,0,4,1528084950.57031,193675,24.712997,2.090309,1.045785,10.451545,0.0,2.674713,9,0,540,0,0.323716,0.323716,0.0,54000,54000,900,900,900,900,0.364203,0.364203,100,100,0.364181,0.364203,900,900,0,DoS,UDP
566075,1528081397.71191,2,2,0,1,1,59179,4,80,5,676,1,3,1528081454.15461,40293,56.442699,0.008643,0.01497,0.034571,0.0,0.034571,4,1,616,60,0.070868,0.053151,0.0,45504,45504,326,326,605,605,0.0837019,0.0837019,69,69,0.0885854,0.111313,316,316,0,DoS,TCP
42230,1528081322.12922,2,2,0,1,0,27867,5,80,4,616,1,3,1528081354.24515,40753,32.115936,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.093412,0.093412,0.0,40656,40656,264,264,500,500,0.124549,0.124549,66,66,0.124549,0.156903,264,264,0,DoS,TCP
113633,1528081324.1705,2,2,0,1,0,46151,5,80,5,770,1,3,1528081355.62469,112156,31.454191,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.127169,0.127169,0.0,77000,77000,500,500,500,500,0.15891,0.15891,100,100,0.158961,0.15891,500,500,0,DoS,TCP
19976,1528081321.80902,2,2,0,1,0,17754,5,80,4,616,1,3,1528081353.01214,18499,31.203117,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.096144,0.096144,0.0,61600,61600,400,400,400,400,0.128169,0.128169,100,100,0.128192,0.128169,400,400,0,DoS,TCP
26070,1528081321.87857,2,2,0,1,0,20941,5,80,4,616,1,3,1528081353.39828,24593,31.519714,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.095179,0.095179,0.0,61600,61600,400,400,400,400,0.126926,0.126926,100,100,0.126905,0.126926,400,400,0,DoS,TCP
766578,1528084924.39112,0,1,1,3,2,28637,3,80,6,360,0,4,1528084948.65896,149301,24.267839,2.106275,2.107683,8.4251,0.0,4.321482,6,0,360,0,0.206034,0.206034,0.0,9720,9720,162,162,673,673,0.247192,0.247192,27,27,0.247241,0.27379,162,162,0,DoS,UDP
634966,1528084921.88221,0,1,1,3,1,4358,4,80,7,420,0,4,1528084947.99222,17689,26.11001,2.744519,1.587341,10.978078,0.0,3.811491,7,0,420,0,0.229797,0.229797,0.0,42000,42000,700,700,700,700,0.268103,0.268103,100,100,0.268096,0.268103,700,700,0,DoS,UDP
566089,1528081397.71192,2,2,0,1,1,59205,4,80,5,676,1,3,1528081454.15462,40307,56.442696,0.008647,0.014976,0.034586,0.0,0.034586,4,1,616,60,0.070868,0.053151,0.0,45504,45504,326,326,605,605,0.0837019,0.0837019,69,69,0.0885854,0.111313,316,316,0,DoS,TCP
78223,1528081322.95156,2,2,0,1,2,12957,3,80,4,616,1,3,1528081351.57741,76746,28.625845,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.1048,0.1048,0.0,43284,43284,289,289,475,475,0.146349,0.146349,69,69,0.139734,0.1733,289,289,0,DoS,TCP
231759,1528081333.78661,2,2,0,1,2,63246,3,80,3,462,1,3,1528081350.51496,230282,16.728346,0.0,0.0,0.0,0.0,0.0,3,0,462,0,0.119558,0.119558,0.0,33264,33264,216,216,300,300,0.179336,0.179336,72,72,0.179336,0.248115,216,216,0,DoS,TCP
728914,1528084923.41795,0,1,1,3,0,44652,5,80,10,600,0,4,1528084949.37399,111637,25.956039,2.551897,1.56572,12.759484,0.0,4.945954,10,0,600,0,0.34674,0.34674,0.0,60000,60000,1000,1000,1000,1000,0.385267,0.385267,100,100,0.385267,0.385267,1000,1000,0,DoS,UDP
882555,1528084951.40193,0,1,1,3,2,63743,3,80,7,420,0,4,1528084976.05685,3121,24.654922,3.091576,1.785132,12.366302,0.0,4.151223,7,0,420,0,0.243359,0.243359,0.0,39480,39480,658,658,730,730,0.283919,0.283919,94,94,0.283919,0.294283,658,658,0,DoS,UDP
649830,1528084922.05474,0,1,1,3,1,11734,4,80,7,420,0,4,1528084948.09183,32553,26.037094,2.729409,1.577513,10.917634,0.0,3.75754,7,0,420,0,0.23044,0.23044,0.0,42000,42000,700,700,700,700,0.268847,0.268847,100,100,0.268847,0.268847,700,700,0,DoS,UDP
388216,1528081358.82506,2,2,0,1,1,13619,4,80,7,890,2,1,1528081386.2462,124586,27.421139,0.069001,0.085099,0.345007,0.0,0.188313,5,2,770,120,0.218809,0.145873,0.055096,84500,84500,625,625,625,625,0.227707,0.227707,100,100,0.255278,0.227707,361,361,0,DoS,TCP
509931,1528081376.96448,0,1,0,1,3,14435,2,80,3,274,2,1,1528081377.15201,246304,0.187525,0.187525,0.0,0.187525,0.187525,0.187525,2,1,214,60,10.665244,5.332622,0.0,27400,27400,300,300,300,300,16.1992,16.1992,100,100,15.9979,16.1992,300,300,0,DoS,TCP
61814,1528081322.52691,2,2,0,1,2,8457,3,80,4,616,1,3,1528081351.31375,60337,28.78684,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.104214,0.104214,0.0,62920,62920,422,422,422,422,0.146578,0.146578,100,100,0.138952,0.146578,422,422,0,DoS,TCP
36669,1528081322.02965,2,2,0,1,1,14116,4,80,5,770,1,3,1528081353.43589,35192,31.406242,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.127363,0.127363,0.0,59840,59840,449,449,569,569,0.203769,0.203769,70,70,0.159204,0.179885,100,100,0,DoS,TCP
702336,1528084922.86898,0,1,1,3,1,24021,4,80,7,420,0,4,1528084948.41703,85059,25.54805,2.691104,1.553727,10.764416,0.0,3.59708,7,0,420,0,0.234852,0.234852,0.0,42000,42000,700,700,700,700,0.273994,0.273994,100,100,0.273994,0.273994,700,700,0,DoS,UDP
915388,1528084951.69544,3,6,1,3,1,13444,4,80,9,540,0,4,1528084980.23931,35954,28.543873,2.864253,1.432134,14.321266,0.0,3.588228,9,0,540,0,0.28027,0.28027,0.0,54000,54000,900,900,900,900,0.315304,0.315304,100,100,0.315304,0.315304,900,900,0,DoS,UDP
581781,1528081398.72077,2,2,0,1,1,62301,4,80,4,616,1,3,1528081455.13424,55999,56.413471,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.053179,0.053179,0.0,69520,69520,532,532,532,532,0.0942917,0.0942917,100,100,0.0709051,0.0942917,286,286,0,DoS,TCP
121790,1528081324.54776,2,2,0,1,2,24738,3,80,4,616,1,3,1528081352.41466,120313,27.866905,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.107655,0.107655,0.0,17592,17592,124,124,416,416,0.164805,0.164805,27,27,0.143539,0.158644,44,44,0,DoS,TCP
684689,1528084922.56066,0,1,1,3,1,20114,4,80,7,420,0,4,1528084948.28789,67412,25.72723,2.704582,1.561751,10.81833,0.0,3.652104,7,0,420,0,0.233216,0.233216,0.0,21000,21000,350,350,600,600,0.272085,0.272085,50,50,0.272085,0.234956,350,350,0,DoS,UDP
809007,1528084925.79039,0,1,1,3,1,47583,4,80,7,420,0,4,1528084949.71597,191730,23.925577,2.740038,1.583658,10.960152,0.0,3.773067,7,0,420,0,0.250778,0.250778,0.0,42000,42000,700,700,700,700,0.292574,0.292574,100,100,0.292574,0.292574,700,700,0,DoS,UDP
650430,1528084922.06407,0,1,1,3,0,26877,5,80,10,600,0,4,1528084951.30629,33153,29.242212,1.752952,1.240641,10.517713,0.0,2.729537,10,0,600,0,0.307774,0.307774,0.0,54600,54600,910,910,973,973,0.341974,0.341974,91,91,0.341971,0.33606,910,910,0,DoS,UDP
118016,1528081324.37264,2,2,0,1,0,47302,5,80,4,616,1,3,1528081350.05607,116539,25.683434,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.116807,0.116807,0.0,61600,61600,400,400,400,400,0.155722,0.155722,100,100,0.155742,0.155722,400,400,0,DoS,TCP
331869,1528081357.59685,2,2,0,1,2,14945,3,80,4,616,1,3,1528081389.36878,68239,31.771933,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.094423,0.094423,0.0,58712,58712,402,402,442,442,0.137524,0.137524,92,92,0.125897,0.138018,291,291,0,DoS,TCP
61368,1528081322.5222,1,5,0,1,3,6995,2,80,6,548,2,1,1528081346.35217,59891,23.829973,0.089318,0.043859,0.178637,0.045459,0.133178,4,2,428,120,0.20982,0.125892,0.041964,31236,31236,342,342,614,614,0.251653,0.251653,57,57,0.251784,0.226393,342,342,0,DoS,TCP
583418,1528081398.81807,1,5,0,1,3,5378,2,80,9,822,2,1,1528081448.39552,57636,49.577442,0.131859,0.016352,0.395578,0.111784,0.151837,6,3,642,180,0.161364,0.100852,0.040341,30414,30414,333,333,701,701,0.181464,0.181464,37,37,0.181534,0.130025,333,333,0,DoS,TCP
574737,1528081398.31674,2,2,0,1,2,51183,3,80,4,616,1,3,1528081457.87061,48955,59.553864,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.050375,0.050375,0.0,59940,59940,435,435,485,485,0.0811263,0.0811263,90,90,0.0671661,0.0817066,200,200,0,DoS,TCP
944250,1528084951.9438,0,1,1,3,1,22931,4,80,8,480,0,4,1528084976.96948,64816,25.025679,3.573744,0.011337,14.294975,3.563594,3.593147,8,0,480,0,0.279713,0.279713,0.0,43680,43680,728,728,836,836,0.319672,0.319672,91,91,0.319672,0.331455,728,728,0,DoS,UDP
635776,1528084921.88964,0,1,1,3,1,4784,4,80,7,420,0,4,1528084947.99597,18499,26.106331,2.743858,1.586973,10.975431,0.0,3.810866,7,0,420,0,0.229829,0.229829,0.0,42000,42000,700,700,700,700,0.268135,0.268135,100,100,0.268134,0.268135,700,700,0,DoS,UDP
971526,1528084952.22974,0,1,1,3,0,50264,5,80,12,720,0,4,1528084979.44883,92092,27.219088,2.394348,0.437257,14.366087,1.416811,2.599049,12,0,720,0,0.404128,0.404128,0.0,27360,27360,456,456,952,952,0.440867,0.440867,38,38,0.440867,0.368225,456,456,0,DoS,UDP
178032,1528081327.65253,2,2,0,1,2,40178,3,80,4,616,1,3,1528081353.84677,176555,26.194235,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.114529,0.114529,0.0,61600,61600,400,400,400,400,0.152659,0.152659,100,100,0.152705,0.152659,400,400,0,DoS,TCP
118414,1528081324.3865,2,2,0,1,2,23810,3,80,4,616,1,3,1528081352.33603,116937,27.949535,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.107336,0.107336,0.0,62860,62860,421,421,421,421,0.150606,0.150606,100,100,0.143115,0.150606,421,421,0,DoS,TCP
38468,1528081322.06026,2,2,0,1,0,26732,5,80,4,616,1,3,1528081354.09394,36991,32.033676,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.093651,0.093651,0.0,59752,59752,388,388,406,406,0.124854,0.124854,97,97,0.124869,0.127863,388,388,0,DoS,TCP
569937,1528081397.99649,2,2,0,1,2,49070,3,80,4,616,1,3,1528081457.14988,44155,59.153389,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.050716,0.050716,0.0,59264,59264,430,430,485,485,0.081647,0.081647,89,89,0.0676208,0.0822029,200,200,0,DoS,TCP
777090,1528084924.71274,0,1,1,3,3,43218,2,80,11,660,0,4,1528084949.70865,159813,24.995914,4.514926,0.155457,18.059704,4.302754,4.731842,11,0,660,0,0.400065,0.400065,0.0,10560,10560,176,176,1016,1016,0.440072,0.440072,16,16,0.440072,0.402451,176,176,0,DoS,UDP
374706,1528081358.52377,2,2,0,1,0,17873,5,80,5,770,1,3,1528081380.89294,111076,22.369177,1.031157,1.786017,4.124629,0.0,4.124629,5,0,770,0,0.178817,0.178817,0.0,18480,18480,120,120,626,626,0.223522,0.223522,24,24,0.223522,0.252132,120,120,0,DoS,TCP
162625,1528081326.69509,2,2,0,1,2,36026,3,80,4,616,1,3,1528081353.4265,161148,26.731403,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.112228,0.112228,0.0,36960,36960,240,240,400,400,0.149671,0.149671,60,60,0.149637,0.154831,240,240,0,DoS,TCP
742489,1528084923.74505,0,1,1,3,3,31799,2,80,11,660,0,4,1528084949.29194,125212,25.546883,4.603872,0.111896,18.415489,4.448689,4.719507,11,0,660,0,0.391437,0.391437,0.0,64920,64920,1082,1082,1082,1082,0.423535,0.423535,100,100,0.430581,0.423535,1082,1082,0,DoS,UDP
542016,1528081395.89132,2,2,0,1,2,41667,3,80,4,522,2,1,1528081454.81579,16234,59.08812,0.054549,0.077144,0.163647,0.0,0.163647,3,1,462,60,0.050772,0.033942,0.0,20688,20688,138,138,642,642,0.053207,0.053207,44,44,0.0676955,0.119421,24,24,0,DoS,TCP
177790,1528081327.61583,2,2,0,1,1,51647,4,80,5,676,2,1,1528081351.21283,176313,23.597,0.004648,0.008051,0.018593,0.0,0.018593,4,1,616,60,0.169513,0.127135,0.0,68320,68320,512,512,512,512,0.216913,0.216913,100,100,0.211891,0.216913,432,432,0,DoS,TCP
781475,1528084924.8431,0,1,1,3,0,56287,5,80,10,600,0,4,1528084950.07285,164198,25.229753,3.058116,0.879614,15.290583,2.560008,4.814262,10,0,600,0,0.356722,0.356722,0.0,59400,59400,990,990,1001,1001,0.396357,0.396357,99,99,0.396357,0.396803,990,990,0,DoS,UDP
926579,1528084951.79739,0,1,1,3,2,2294,3,80,6,360,0,4,1528084972.38024,47145,20.58285,4.129388,0.026874,12.388164,4.09532,4.161145,6,0,360,0,0.242921,0.242921,0.0,13320,13320,222,222,978,978,0.291505,0.291505,37,37,0.291505,0.395097,222,222,0,DoS,UDP
990050,1528084952.45081,0,1,1,3,2,22326,3,80,7,420,0,4,1528084978.45791,110616,26.007093,3.083963,1.780728,12.335854,0.0,4.145538,7,0,420,0,0.230706,0.230706,0.0,42000,42000,700,700,700,700,0.269157,0.269157,100,100,0.269157,0.269157,700,700,0,DoS,UDP
606441,1528081400.64624,2,2,0,1,2,62380,3,80,3,462,1,3,1528081437.27952,80660,36.633282,0.0,0.0,0.0,0.0,0.0,3,0,462,0,0.054595,0.054595,0.0,48420,48420,337,337,337,337,0.0919881,0.0919881,100,100,0.0818927,0.0919881,216,216,0,DoS,TCP
564038,1528081397.56777,2,2,0,1,2,47557,3,80,4,616,1,3,1528081456.64649,38256,59.078724,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.05078,0.05078,0.0,64660,64660,451,451,451,451,0.0762616,0.0762616,100,100,0.0677063,0.0762616,267,267,0,DoS,TCP
897152,1528084951.56523,0,1,1,3,1,3656,4,80,9,540,0,4,1528084980.1013,17718,28.536074,2.866292,1.433159,14.331457,0.0,3.590026,9,0,540,0,0.280347,0.280347,0.0,54000,54000,900,900,900,900,0.315393,0.315393,100,100,0.31539,0.315393,900,900,0,DoS,UDP
137479,1528081325.30243,2,2,0,1,0,52278,5,80,4,616,1,3,1528081350.53976,136002,25.237329,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.118872,0.118872,0.0,59136,59136,384,384,400,400,0.158495,0.158495,96,96,0.158495,0.157935,384,384,0,DoS,TCP
194556,1528081328.80666,2,2,0,1,0,1594,5,80,4,616,1,3,1528081352.06866,193079,23.262005,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.128966,0.128966,0.0,61600,61600,400,400,400,400,0.171942,0.171942,100,100,0.171954,0.171942,400,400,0,DoS,TCP
700904,1528084922.84632,0,1,1,3,0,38475,5,80,9,540,0,4,1528084949.08681,83627,26.240496,1.32425,1.325377,7.945502,0.0,2.754662,9,0,540,0,0.304872,0.304872,0.0,54000,54000,900,900,900,900,0.3429,0.3429,100,100,0.342981,0.3429,900,900,0,DoS,UDP
13808,1528081321.74866,2,2,0,1,1,2612,4,80,7,890,2,1,1528081352.98431,12331,31.235655,0.010476,0.014019,0.052381,0.0,0.035122,5,2,770,120,0.192088,0.128059,0.065663,84800,84800,630,630,630,630,0.201679,0.201679,100,100,0.224103,0.201679,365,365,0,DoS,TCP
614686,1528081401.34834,2,2,0,1,1,5233,4,80,6,736,2,1,1528081458.00428,88905,56.655933,0.021527,0.021907,0.086107,0.0,0.0488,4,2,616,120,0.088252,0.052997,0.017662,60056,60056,462,462,588,588,0.0948585,0.0948585,86,86,0.105902,0.105619,405,405,0,DoS,TCP
906607,1528084951.62524,0,1,1,3,3,35031,2,80,13,780,0,4,1528084978.4813,27173,26.856056,3.588019,1.794045,17.940094,0.0,4.494507,13,0,780,0,0.446827,0.446827,0.0,78000,78000,1300,1300,1300,1300,0.484062,0.484062,100,100,0.484062,0.484062,1300,1300,0,DoS,UDP
864267,1528084929.00478,0,1,1,3,1,65069,4,80,7,420,0,4,1528084951.23413,246990,22.229353,2.831819,1.651398,11.327275,0.0,4.155253,7,0,420,0,0.269913,0.269913,0.0,42000,42000,700,700,700,700,0.314899,0.314899,100,100,0.314899,0.314899,700,700,0,DoS,UDP
